,R,G,B
25308,221,221,221
25309,221,221,221
25310,222,222,222
25311,222,222,222
25312,222,222,222
25313,222,222,222
25314,223,223,223
25315,223,223,223
25316,223,223,223
25317,223,223,223
25318,223,223,223
25319,223,223,223
25320,223,223,223
25321,223,223,223
25322,222,222,222
25323,222,222,222
25324,222,222,222
25325,222,222,222
25326,222,222,222
25327,222,222,222
25328,222,222,222
25329,222,222,222
25330,219,219,219
25331,220,220,220
25332,220,220,220
25333,221,221,221
25334,221,221,221
25335,222,222,222
25336,222,222,222
25337,223,223,223
25338,222,222,222
25339,222,222,222
25340,222,222,222
25341,221,221,221
25342,220,220,220
25343,220,220,220
25344,219,219,219
25345,219,219,219
25346,219,219,219
25347,219,219,219
25348,218,218,218
25349,217,217,217
25350,217,217,217
25351,216,216,216
25352,216,216,216
25353,216,216,216
25354,216,216,216
25355,216,216,216
25356,217,217,217
25357,217,217,217
25358,218,218,218
25359,218,218,218
25360,219,219,219
25361,219,219,219
25362,217,217,217
25363,217,217,217
25364,217,217,217
25365,217,217,217
25366,217,217,217
25367,217,217,217
25368,217,217,217
25369,217,217,217
25370,217,217,217
25371,217,217,217
25372,217,217,217
25373,217,217,217
25374,217,217,217
25375,217,217,217
25376,217,217,217
25377,217,217,217
25378,217,217,217
25379,217,217,217
25380,217,217,217
25381,216,216,216
25382,215,215,215
25383,215,215,215
25384,214,214,214
25385,214,214,214
25386,214,214,214
25387,214,214,214
25388,215,215,215
25389,217,217,217
25390,218,218,218
25391,219,219,219
25392,220,220,220
25393,221,221,221
25394,224,224,224
25395,228,228,228
25396,233,233,233
25397,238,238,238
25398,239,239,239
25399,237,237,237
25400,233,233,233
25401,231,231,231
25402,232,232,232
25403,233,233,233
25404,233,233,233
25405,234,234,234
25406,236,236,236
25407,237,237,237
25408,237,237,237
25409,238,238,238
25410,239,239,239
25411,239,239,239
25412,239,239,239
25413,239,239,239
25414,239,239,239
25415,239,239,239
25416,239,239,239
25417,239,239,239
25418,239,239,239
25419,239,239,239
25420,240,240,240
25421,241,241,241
25422,241,241,241
25423,242,242,242
25424,243,243,243
25425,243,243,243
25426,232,232,232
25427,231,231,231
25428,231,231,231
25429,230,230,230
25430,230,230,230
25431,229,229,229
25432,229,229,229
25433,228,228,228
25434,227,227,227
25435,227,227,227
25436,227,227,227
25437,227,227,227
25438,227,227,227
25439,227,227,227
25440,227,227,227
25441,227,227,227
25442,229,229,229
25443,228,228,228
25444,227,227,227
25445,225,225,225
25446,223,223,223
25447,221,221,221
25448,219,219,219
25449,219,219,219
25450,228,228,228
25451,228,228,228
25452,226,226,226
25453,224,224,224
25454,223,223,223
25455,221,221,221
25456,219,219,219
25457,219,219,219
25458,219,219,219
25459,216,216,216
25460,211,211,211
25461,206,206,206
25462,204,204,204
25463,204,204,204
25464,206,206,206
25465,208,208,208
25466,191,191,191
25467,191,191,191
25468,190,190,190
25469,190,190,190
25470,189,189,189
25471,188,188,188
25472,187,187,187
25473,187,187,187
25474,187,187,187
25475,186,186,186
25476,184,184,184
25477,183,183,183
25478,182,182,182
25479,182,182,182
25480,182,182,182
25481,183,183,183
25482,184,184,184
25483,185,185,185
25484,185,185,185
25485,184,184,184
25486,184,184,184
25487,182,182,182
25488,181,181,181
25489,180,180,180
25490,186,186,186
25491,188,188,188
25492,191,191,191
25493,194,194,194
25494,196,196,196
25495,196,196,196
25496,195,195,195
25497,194,194,194
25498,191,191,191
25499,191,191,191
25500,191,191,191
25501,191,191,191
25502,190,190,190
25503,190,190,190
25504,189,189,189
25505,189,189,189
25506,189,189,189
25507,189,189,189
25508,189,189,189
25509,188,188,188
25510,187,187,187
25511,187,187,187
25512,186,186,186
25513,186,186,186
25514,188,188,188
25515,188,188,188
25516,188,188,188
25517,188,188,188
25518,187,187,187
25519,187,187,187
25520,187,187,187
25521,187,187,187
25522,185,185,185
25523,185,185,185
25524,184,184,184
25525,182,182,182
25526,180,180,180
25527,179,179,179
25528,178,178,178
25529,177,177,177
25530,175,175,175
25531,174,174,174
25532,174,174,174
25533,174,174,174
25534,174,174,174
25535,173,173,173
25536,173,173,173
25537,173,173,173
25538,172,172,172
25539,172,172,172
25540,171,171,171
25541,171,171,171
25542,170,170,170
25543,169,169,169
25544,169,169,169
25545,169,169,169
25546,170,170,170
25547,170,170,170
25548,169,169,169
25549,169,169,169
25550,168,168,168
25551,167,167,167
25552,167,167,167
25553,167,167,167
25554,168,168,168
25555,168,168,168
25556,168,168,168
25557,168,168,168
25558,168,168,168
25559,168,168,168
25560,168,168,168
25561,168,168,168
25562,165,165,165
25563,165,165,165
25564,165,165,165
25565,165,165,165
25566,165,165,165
25567,165,165,165
25568,165,165,165
25569,165,165,165
25570,163,163,163
25571,163,163,163
25572,163,163,163
25573,163,163,163
25574,163,163,163
25575,163,163,163
25576,163,163,163
25577,163,163,163
25578,164,164,164
25579,164,164,164
25580,164,164,164
25581,163,163,163
25582,163,163,163
25583,162,162,162
25584,162,162,162
25585,162,162,162
25586,161,161,161
25587,161,161,161
25588,162,162,162
25589,163,163,163
25590,163,163,163
25591,164,164,164
25592,165,165,165
25593,165,165,165
25594,169,169,169
25595,169,169,169
25596,180,180,180
25597,178,178,178
25598,176,176,176
25599,176,176,176
25600,178,178,178
25601,180,180,180
25602,181,181,181
25603,181,181,181
25604,182,182,182
25605,182,182,182
25606,183,183,183
25607,184,184,184
25608,185,185,185
25609,186,186,186
25610,187,187,187
25611,188,188,188
25612,186,186,186
25613,186,186,186
25614,186,186,186
25615,187,187,187
25616,187,187,187
25617,188,188,188
25618,188,188,188
25619,188,188,188
25620,189,189,189
25621,189,189,189
25622,189,189,189
25623,189,189,189
25624,189,189,189
25625,189,189,189
25626,189,189,189
25627,189,189,189
25628,188,188,188
25629,188,188,188
25630,188,188,188
25631,188,188,188
25632,188,188,188
25633,188,188,188
25634,188,188,188
25635,188,188,188
25636,189,189,189
25637,189,189,189
25638,188,188,188
25639,188,188,188
25640,187,187,187
25641,187,187,187
25642,187,187,187
25643,186,186,186
25644,191,191,191
25645,191,191,191
25646,191,191,191
25647,192,192,192
25648,192,192,192
25649,193,193,193
25650,193,193,193
25651,194,194,194
25652,191,191,191
25653,191,191,191
25654,191,191,191
25655,191,191,191
25656,191,191,191
25657,191,191,191
25658,191,191,191
25659,191,191,191
25660,192,192,192
25661,192,192,192
25662,192,192,192
25663,192,192,192
25664,192,192,192
25665,192,192,192
25666,192,192,192
25667,192,192,192
25668,192,192,192
25669,192,192,192
25670,192,192,192
25671,192,192,192
25672,192,192,192
25673,192,192,192
25674,192,192,192
25675,192,192,192
25676,193,193,193
25677,193,193,193
25678,193,193,193
25679,193,193,193
25680,193,193,193
25681,193,193,193
25682,193,193,193
25683,193,193,193
25684,193,193,193
25685,193,193,193
25686,194,194,194
25687,195,195,195
25688,195,195,195
25689,196,196,196
25690,197,197,197
25691,197,197,197
25692,194,194,194
25693,195,195,195
25694,195,195,195
25695,196,196,196
25696,197,197,197
25697,197,197,197
25698,198,198,198
25699,198,198,198
25700,199,199,199
25701,199,199,199
25702,199,199,199
25703,199,199,199
25704,199,199,199
25705,199,199,199
25706,199,199,199
25707,199,199,199
25708,197,197,197
25709,197,197,197
25710,197,197,197
25711,197,197,197
25712,197,197,197
25713,197,197,197
25714,197,197,197
25715,197,197,197
25716,199,199,199
25717,199,199,199
25718,199,199,199
25719,199,199,199
25720,199,199,199
25721,199,199,199
25722,199,199,199
25723,199,199,199
25724,200,200,200
25725,200,200,200
25726,200,200,200
25727,200,200,200
25728,200,200,200
25729,200,200,200
25730,200,200,200
25731,200,200,200
25732,200,200,200
25733,200,200,200
25734,200,200,200
25735,200,200,200
25736,200,200,200
25737,200,200,200
25738,200,200,200
25739,200,200,200
25740,201,201,201
25741,201,201,201
25742,202,202,202
25743,202,202,202
25744,203,203,203
25745,204,204,204
25746,204,204,204
25747,204,204,204
25748,206,206,206
25749,206,206,206
25750,206,206,206
25751,207,207,207
25752,208,208,208
25753,208,208,208
25754,209,209,209
25755,209,209,209
25756,208,208,208
25757,209,209,209
25758,209,209,209
25759,210,210,210
25760,210,210,210
25761,211,211,211
25762,211,211,211
25763,212,212,212
25764,210,210,210
25765,211,211,211
25766,211,211,211
25767,212,212,212
25768,212,212,212
25769,213,213,213
25770,213,213,213
25771,214,214,214
25772,216,216,216
25773,216,216,216
25774,216,216,216
25775,217,217,217
25776,217,217,217
25777,218,218,218
25778,219,219,219
25779,219,219,219
25780,219,219,219
25781,219,219,219
25782,220,220,220
25783,221,221,221
25784,222,222,222
25785,222,222,222
25786,223,223,223
25787,223,223,223
25788,226,226,226
25789,226,226,226
25790,226,226,226
25791,226,226,226
25792,226,226,226
25793,226,226,226
25794,225,225,225
25795,225,225,225
25796,224,224,224
25797,224,224,224
25798,224,224,224
25799,224,224,224
25800,224,224,224
25801,224,224,224
25802,224,224,224
25803,224,224,224
25804,220,220,220
25805,220,220,220
25806,220,220,220
25807,221,221,221
25808,222,222,222
25809,222,222,222
25810,223,223,223
25811,223,223,223
25812,224,224,224
25813,224,224,224
25814,223,223,223
25815,223,223,223
25816,222,222,222
25817,222,222,222
25818,221,221,221
25819,221,221,221
25820,218,218,218
25821,218,218,218
25822,218,218,218
25823,217,217,217
25824,216,216,216
25825,216,216,216
25826,215,215,215
25827,215,215,215
25828,216,216,216
25829,216,216,216
25830,217,217,217
25831,217,217,217
25832,218,218,218
25833,218,218,218
25834,219,219,219
25835,219,219,219
25836,217,217,217
25837,217,217,217
25838,217,217,217
25839,217,217,217
25840,217,217,217
25841,217,217,217
25842,217,217,217
25843,217,217,217
25844,216,216,216
25845,216,216,216
25846,216,216,216
25847,216,216,216
25848,216,216,216
25849,216,216,216
25850,216,216,216
25851,216,216,216
25852,217,217,217
25853,216,216,216
25854,216,216,216
25855,215,215,215
25856,215,215,215
25857,214,214,214
25858,214,214,214
25859,214,214,214
25860,216,216,216
25861,215,215,215
25862,214,214,214
25863,214,214,214
25864,212,212,212
25865,212,212,212
25866,211,211,211
25867,210,210,210
25868,215,215,215
25869,214,214,214
25870,213,213,213
25871,212,212,212
25872,213,213,213
25873,215,215,215
25874,217,217,217
25875,219,219,219
25876,220,220,220
25877,220,220,220
25878,219,219,219
25879,218,218,218
25880,218,218,218
25881,217,217,217
25882,216,216,216
25883,216,216,216
25884,219,219,219
25885,219,219,219
25886,219,219,219
25887,219,219,219
25888,219,219,219
25889,219,219,219
25890,219,219,219
25891,219,219,219
25892,221,221,221
25893,222,222,222
25894,223,223,223
25895,225,225,225
25896,226,226,226
25897,228,228,228
25898,229,229,229
25899,230,230,230
25900,231,231,231
25901,231,231,231
25902,230,230,230
25903,230,230,230
25904,229,229,229
25905,228,228,228
25906,228,228,228
25907,228,228,228
25908,226,226,226
25909,226,226,226
25910,226,226,226
25911,226,226,226
25912,226,226,226
25913,226,226,226
25914,226,226,226
25915,226,226,226
25916,233,233,233
25917,232,232,232
25918,232,232,232
25919,232,232,232
25920,231,231,231
25921,231,231,231
25922,230,230,230
25923,230,230,230
25924,226,226,226
25925,225,225,225
25926,223,223,223
25927,220,220,220
25928,217,217,217
25929,214,214,214
25930,212,212,212
25931,211,211,211
25932,218,218,218
25933,214,214,214
25934,208,208,208
25935,203,203,203
25936,200,200,200
25937,201,201,201
25938,203,203,203
25939,205,205,205
25940,222,222,222
25941,220,220,220
25942,217,217,217
25943,212,212,212
25944,207,207,207
25945,203,203,203
25946,199,199,199
25947,197,197,197
25948,193,193,193
25949,194,194,194
25950,194,194,194
25951,193,193,193
25952,192,192,192
25953,190,190,190
25954,188,188,188
25955,187,187,187
25956,190,190,190
25957,190,190,190
25958,188,188,188
25959,187,187,187
25960,187,187,187
25961,186,186,186
25962,186,186,186
25963,187,187,187
25964,189,189,189
25965,190,190,190
25966,191,191,191
25967,192,192,192
25968,193,193,193
25969,193,193,193
25970,194,194,194
25971,194,194,194
25972,198,198,198
25973,197,197,197
25974,196,196,196
25975,194,194,194
25976,192,192,192
25977,191,191,191
25978,190,190,190
25979,189,189,189
25980,192,192,192
25981,192,192,192
25982,191,191,191
25983,191,191,191
25984,190,190,190
25985,189,189,189
25986,189,189,189
25987,189,189,189
25988,190,190,190
25989,191,191,191
25990,191,191,191
25991,191,191,191
25992,191,191,191
25993,192,192,192
25994,192,192,192
25995,192,192,192
25996,197,197,197
25997,197,197,197
25998,196,196,196
25999,195,195,195
26000,194,194,194
26001,194,194,194
26002,193,193,193
26003,193,193,193
26004,187,187,187
26005,186,186,186
26006,186,186,186
26007,185,185,185
26008,184,184,184
26009,183,183,183
26010,182,182,182
26011,182,182,182
26012,178,178,178
26013,178,178,178
26014,178,178,178
26015,177,177,177
26016,176,176,176
26017,176,176,176
26018,175,175,175
26019,175,175,175
26020,174,174,174
26021,174,174,174
26022,173,173,173
26023,172,172,172
26024,172,172,172
26025,171,171,171
26026,171,171,171
26027,171,171,171
26028,170,170,170
26029,170,170,170
26030,170,170,170
26031,170,170,170
26032,170,170,170
26033,170,170,170
26034,170,170,170
26035,170,170,170
26036,166,166,166
26037,166,166,166
26038,166,166,166
26039,166,166,166
26040,166,166,166
26041,166,166,166
26042,166,166,166
26043,166,166,166
26044,165,165,165
26045,165,165,165
26046,165,165,165
26047,165,165,165
26048,165,165,165
26049,165,165,165
26050,165,165,165
26051,165,165,165
26052,166,166,166
26053,166,166,166
26054,165,165,165
26055,165,165,165
26056,164,164,164
26057,163,163,163
26058,163,163,163
26059,162,162,162
26060,166,166,166
26061,166,166,166
26062,166,166,166
26063,166,166,166
26064,167,167,167
26065,167,167,167
26066,167,167,167
26067,167,167,167
26068,171,171,171
26069,171,171,171
26070,181,181,181
26071,179,179,179
26072,177,177,177
26073,178,178,178
26074,180,180,180
26075,182,182,182
26076,182,182,182
26077,182,182,182
26078,185,185,185
26079,185,185,185
26080,186,186,186
26081,187,187,187
26082,189,189,189
26083,190,190,190
26084,191,191,191
26085,191,191,191
26086,197,197,197
26087,197,197,197
26088,197,197,197
26089,197,197,197
26090,198,198,198
26091,198,198,198
26092,198,198,198
26093,199,199,199
26094,196,196,196
26095,196,196,196
26096,196,196,196
26097,196,196,196
26098,196,196,196
26099,196,196,196
26100,195,195,195
26101,195,195,195
26102,196,196,196
26103,196,196,196
26104,196,196,196
26105,196,196,196
26106,196,196,196
26107,196,196,196
26108,195,195,195
26109,195,195,195
26110,196,196,196
26111,195,195,195
26112,194,194,194
26113,193,193,193
26114,192,192,192
26115,191,191,191
26116,191,191,191
26117,190,190,190
26118,187,187,187
26119,187,187,187
26120,188,188,188
26121,188,188,188
26122,189,189,189
26123,190,190,190
26124,190,190,190
26125,190,190,190
26126,187,187,187
26127,187,187,187
26128,187,187,187
26129,187,187,187
26130,187,187,187
26131,187,187,187
26132,187,187,187
26133,187,187,187
26134,187,187,187
26135,187,187,187
26136,187,187,187
26137,187,187,187
26138,187,187,187
26139,187,187,187
26140,187,187,187
26141,187,187,187
26142,187,187,187
26143,187,187,187
26144,187,187,187
26145,187,187,187
26146,187,187,187
26147,187,187,187
26148,187,187,187
26149,187,187,187
26150,189,189,189
26151,189,189,189
26152,189,189,189
26153,189,189,189
26154,189,189,189
26155,189,189,189
26156,189,189,189
26157,189,189,189
26158,188,188,188
26159,189,189,189
26160,189,189,189
26161,190,190,190
26162,191,191,191
26163,192,192,192
26164,192,192,192
26165,193,193,193
26166,190,190,190
26167,190,190,190
26168,191,191,191
26169,192,192,192
26170,193,193,193
26171,193,193,193
26172,194,194,194
26173,194,194,194
26174,196,196,196
26175,196,196,196
26176,196,196,196
26177,196,196,196
26178,196,196,196
26179,196,196,196
26180,196,196,196
26181,196,196,196
26182,198,198,198
26183,198,198,198
26184,198,198,198
26185,198,198,198
26186,198,198,198
26187,198,198,198
26188,198,198,198
26189,198,198,198
26190,201,201,201
26191,201,201,201
26192,201,201,201
26193,201,201,201
26194,201,201,201
26195,201,201,201
26196,201,201,201
26197,201,201,201
26198,200,200,200
26199,200,200,200
26200,200,200,200
26201,200,200,200
26202,200,200,200
26203,200,200,200
26204,200,200,200
26205,200,200,200
26206,200,200,200
26207,200,200,200
26208,200,200,200
26209,200,200,200
26210,200,200,200
26211,200,200,200
26212,200,200,200
26213,200,200,200
26214,202,202,202
26215,202,202,202
26216,203,203,203
26217,203,203,203
26218,204,204,204
26219,204,204,204
26220,205,205,205
26221,205,205,205
26222,207,207,207
26223,208,208,208
26224,208,208,208
26225,209,209,209
26226,209,209,209
26227,210,210,210
26228,210,210,210
26229,211,211,211
26230,210,210,210
26231,210,210,210
26232,211,211,211
26233,211,211,211
26234,212,212,212
26235,212,212,212
26236,213,213,213
26237,213,213,213
26238,213,213,213
26239,213,213,213
26240,213,213,213
26241,214,214,214
26242,215,215,215
26243,215,215,215
26244,216,216,216
26245,216,216,216
26246,219,219,219
26247,219,219,219
26248,220,220,220
26249,220,220,220
26250,221,221,221
26251,222,222,222
26252,222,222,222
26253,222,222,222
26254,222,222,222
26255,223,223,223
26256,224,224,224
26257,225,225,225
26258,226,226,226
26259,227,227,227
26260,228,228,228
26261,228,228,228
26262,227,227,227
26263,227,227,227
26264,227,227,227
26265,226,226,226
26266,226,226,226
26267,226,226,226
26268,226,226,226
26269,226,226,226
26270,226,226,226
26271,226,226,226
26272,226,226,226
26273,226,226,226
26274,226,226,226
26275,226,226,226
26276,226,226,226
26277,226,226,226
26278,225,225,225
26279,225,225,225
26280,224,224,224
26281,224,224,224
26282,223,223,223
26283,222,222,222
26284,222,222,222
26285,222,222,222
26286,224,224,224
26287,223,223,223
26288,222,222,222
26289,221,221,221
26290,220,220,220
26291,219,219,219
26292,218,218,218
26293,218,218,218
26294,219,219,219
26295,219,219,219
26296,218,218,218
26297,218,218,218
26298,217,217,217
26299,216,216,216
26300,216,216,216
26301,216,216,216
26302,213,213,213
26303,214,214,214
26304,214,214,214
26305,215,215,215
26306,215,215,215
26307,216,216,216
26308,216,216,216
26309,216,216,216
26310,219,219,219
26311,219,219,219
26312,219,219,219
26313,219,219,219
26314,219,219,219
26315,219,219,219
26316,219,219,219
26317,219,219,219
26318,215,215,215
26319,215,215,215
26320,215,215,215
26321,215,215,215
26322,215,215,215
26323,215,215,215
26324,215,215,215
26325,215,215,215
26326,213,213,213
26327,213,213,213
26328,214,214,214
26329,214,214,214
26330,215,215,215
26331,215,215,215
26332,216,216,216
26333,216,216,216
26334,213,213,213
26335,213,213,213
26336,213,213,213
26337,214,214,214
26338,215,215,215
26339,215,215,215
26340,216,216,216
26341,216,216,216
26342,215,215,215
26343,215,215,215
26344,214,214,214
26345,213,213,213
26346,212,212,212
26347,211,211,211
26348,210,210,210
26349,210,210,210
26350,211,211,211
26351,211,211,211
26352,211,211,211
26353,211,211,211
26354,211,211,211
26355,211,211,211
26356,211,211,211
26357,211,211,211
26358,210,210,210
26359,210,210,210
26360,210,210,210
26361,210,210,210
26362,210,210,210
26363,210,210,210
26364,210,210,210
26365,210,210,210
26366,208,208,208
26367,208,208,208
26368,209,209,209
26369,210,210,210
26370,211,211,211
26371,212,212,212
26372,213,213,213
26373,213,213,213
26374,212,212,212
26375,212,212,212
26376,211,211,211
26377,211,211,211
26378,210,210,210
26379,209,209,209
26380,209,209,209
26381,209,209,209
26382,213,213,213
26383,213,213,213
26384,213,213,213
26385,213,213,213
26386,213,213,213
26387,213,213,213
26388,213,213,213
26389,213,213,213
26390,215,215,215
26391,216,216,216
26392,218,218,218
26393,220,220,220
26394,222,222,222
26395,224,224,224
26396,226,226,226
26397,227,227,227
26398,240,240,240
26399,238,238,238
26400,235,235,235
26401,232,232,232
26402,228,228,228
26403,225,225,225
26404,222,222,222
26405,221,221,221
26406,216,216,216
26407,215,215,215
26408,212,212,212
26409,210,210,210
26410,209,209,209
26411,208,208,208
26412,209,209,209
26413,209,209,209
26414,205,205,205
26415,204,204,204
26416,204,204,204
26417,203,203,203
26418,203,203,203
26419,202,202,202
26420,202,202,202
26421,201,201,201
26422,198,198,198
26423,201,201,201
26424,206,206,206
26425,210,210,210
26426,211,211,211
26427,210,210,210
26428,208,208,208
26429,206,206,206
26430,204,204,204
26431,202,202,202
26432,198,198,198
26433,195,195,195
26434,193,193,193
26435,192,192,192
26436,192,192,192
26437,192,192,192
26438,193,193,193
26439,192,192,192
26440,190,190,190
26441,189,189,189
26442,189,189,189
26443,190,190,190
26444,192,192,192
26445,193,193,193
26446,197,197,197
26447,197,197,197
26448,197,197,197
26449,197,197,197
26450,197,197,197
26451,197,197,197
26452,197,197,197
26453,197,197,197
26454,193,193,193
26455,193,193,193
26456,192,192,192
26457,192,192,192
26458,191,191,191
26459,191,191,191
26460,190,190,190
26461,190,190,190
26462,188,188,188
26463,189,189,189
26464,189,189,189
26465,190,190,190
26466,191,191,191
26467,191,191,191
26468,192,192,192
26469,192,192,192
26470,191,191,191
26471,191,191,191
26472,191,191,191
26473,192,192,192
26474,192,192,192
26475,192,192,192
26476,192,192,192
26477,192,192,192
26478,197,197,197
26479,196,196,196
26480,195,195,195
26481,194,194,194
26482,193,193,193
26483,191,191,191
26484,190,190,190
26485,190,190,190
26486,186,186,186
26487,186,186,186
26488,185,185,185
26489,185,185,185
26490,184,184,184
26491,183,183,183
26492,183,183,183
26493,183,183,183
26494,177,177,177
26495,176,176,176
26496,176,176,176
26497,175,175,175
26498,175,175,175
26499,174,174,174
26500,174,174,174
26501,173,173,173
26502,171,171,171
26503,171,171,171
26504,171,171,171
26505,171,171,171
26506,171,171,171
26507,171,171,171
26508,171,171,171
26509,171,171,171
26510,166,166,166
26511,166,166,166
26512,166,166,166
26513,166,166,166
26514,166,166,166
26515,166,166,166
26516,166,166,166
26517,166,166,166
26518,166,166,166
26519,166,166,166
26520,166,166,166
26521,166,166,166
26522,166,166,166
26523,166,166,166
26524,166,166,166
26525,166,166,166
26526,166,166,166
26527,166,166,166
26528,166,166,166
26529,165,165,165
26530,164,164,164
26531,163,163,163
26532,162,162,162
26533,162,162,162
26534,170,170,170
26535,170,170,170
26536,170,170,170
26537,170,170,170
26538,169,169,169
26539,169,169,169
26540,169,169,169
26541,169,169,169
26542,173,173,173
26543,173,173,173
26544,184,184,184
26545,182,182,182
26546,180,180,180
26547,180,180,180
26548,182,182,182
26549,183,183,183
26550,184,184,184
26551,184,184,184
26552,187,187,187
26553,187,187,187
26554,188,188,188
26555,188,188,188
26556,189,189,189
26557,190,190,190
26558,191,191,191
26559,191,191,191
26560,189,189,189
26561,190,190,190
26562,190,190,190
26563,191,191,191
26564,191,191,191
26565,192,192,192
26566,192,192,192
26567,193,193,193
26568,195,195,195
26569,195,195,195
26570,195,195,195
26571,195,195,195
26572,195,195,195
26573,195,195,195
26574,195,195,195
26575,195,195,195
26576,192,192,192
26577,192,192,192
26578,192,192,192
26579,192,192,192
26580,192,192,192
26581,192,192,192
26582,192,192,192
26583,192,192,192
26584,192,192,192
26585,192,192,192
26586,192,192,192
26587,192,192,192
26588,192,192,192
26589,192,192,192
26590,192,192,192
26591,192,192,192
26592,188,188,188
26593,188,188,188
26594,188,188,188
26595,188,188,188
26596,188,188,188
26597,188,188,188
26598,188,188,188
26599,188,188,188
26600,189,189,189
26601,189,189,189
26602,189,189,189
26603,189,189,189
26604,189,189,189
26605,189,189,189
26606,189,189,189
26607,189,189,189
26608,188,188,188
26609,188,188,188
26610,188,188,188
26611,188,188,188
26612,188,188,188
26613,188,188,188
26614,188,188,188
26615,188,188,188
26616,187,187,187
26617,187,187,187
26618,187,187,187
26619,187,187,187
26620,187,187,187
26621,187,187,187
26622,187,187,187
26623,187,187,187
26624,187,187,187
26625,187,187,187
26626,187,187,187
26627,188,188,188
26628,189,189,189
26629,189,189,189
26630,190,190,190
26631,190,190,190
26632,191,191,191
26633,191,191,191
26634,191,191,191
26635,192,192,192
26636,193,193,193
26637,193,193,193
26638,194,194,194
26639,194,194,194
26640,195,195,195
26641,195,195,195
26642,195,195,195
26643,195,195,195
26644,195,195,195
26645,195,195,195
26646,195,195,195
26647,195,195,195
26648,198,198,198
26649,198,198,198
26650,198,198,198
26651,198,198,198
26652,198,198,198
26653,198,198,198
26654,198,198,198
26655,198,198,198
26656,197,197,197
26657,197,197,197
26658,197,197,197
26659,197,197,197
26660,197,197,197
26661,197,197,197
26662,196,196,196
26663,196,196,196
26664,200,200,200
26665,200,200,200
26666,200,200,200
26667,201,201,201
26668,201,201,201
26669,202,202,202
26670,202,202,202
26671,203,203,203
26672,204,204,204
26673,204,204,204
26674,204,204,204
26675,205,205,205
26676,206,206,206
26677,206,206,206
26678,207,207,207
26679,207,207,207
26680,207,207,207
26681,207,207,207
26682,207,207,207
26683,207,207,207
26684,207,207,207
26685,207,207,207
26686,207,207,207
26687,207,207,207
26688,209,209,209
26689,209,209,209
26690,209,209,209
26691,209,209,209
26692,209,209,209
26693,209,209,209
26694,209,209,209
26695,209,209,209
26696,210,210,210
26697,210,210,210
26698,210,210,210
26699,211,211,211
26700,212,212,212
26701,212,212,212
26702,213,213,213
26703,213,213,213
26704,210,210,210
26705,210,210,210
26706,211,211,211
26707,211,211,211
26708,212,212,212
26709,212,212,212
26710,213,213,213
26711,213,213,213
26712,214,214,214
26713,214,214,214
26714,215,215,215
26715,216,216,216
26716,217,217,217
26717,219,219,219
26718,219,219,219
26719,220,220,220
26720,222,222,222
26721,223,223,223
26722,223,223,223
26723,224,224,224
26724,224,224,224
26725,225,225,225
26726,225,225,225
26727,225,225,225
26728,228,228,228
26729,228,228,228
26730,228,228,228
26731,229,229,229
26732,229,229,229
26733,230,230,230
26734,230,230,230
26735,231,231,231
26736,231,231,231
26737,231,231,231
26738,231,231,231
26739,231,231,231
26740,231,231,231
26741,231,231,231
26742,231,231,231
26743,231,231,231
26744,231,231,231
26745,230,230,230
26746,230,230,230
26747,229,229,229
26748,229,229,229
26749,228,228,228
26750,228,228,228
26751,228,228,228
26752,227,227,227
26753,227,227,227
26754,226,226,226
26755,226,226,226
26756,225,225,225
26757,225,225,225
26758,224,224,224
26759,224,224,224
26760,224,224,224
26761,224,224,224
26762,224,224,224
26763,223,223,223
26764,223,223,223
26765,222,222,222
26766,222,222,222
26767,221,221,221
26768,219,219,219
26769,219,219,219
26770,218,218,218
26771,218,218,218
26772,217,217,217
26773,217,217,217
26774,216,216,216
26775,216,216,216
26776,218,218,218
26777,217,217,217
26778,217,217,217
26779,216,216,216
26780,216,216,216
26781,215,215,215
26782,215,215,215
26783,214,214,214
26784,218,218,218
26785,218,218,218
26786,217,217,217
26787,217,217,217
26788,216,216,216
26789,215,215,215
26790,215,215,215
26791,215,215,215
26792,213,213,213
26793,213,213,213
26794,213,213,213
26795,213,213,213
26796,213,213,213
26797,213,213,213
26798,213,213,213
26799,213,213,213
26800,215,215,215
26801,215,215,215
26802,215,215,215
26803,215,215,215
26804,215,215,215
26805,215,215,215
26806,215,215,215
26807,215,215,215
26808,214,214,214
26809,214,214,214
26810,214,214,214
26811,214,214,214
26812,214,214,214
26813,214,214,214
26814,214,214,214
26815,214,214,214
26816,211,211,211
26817,211,211,211
26818,211,211,211
26819,211,211,211
26820,211,211,211
26821,211,211,211
26822,211,211,211
26823,211,211,211
26824,214,214,214
26825,214,214,214
26826,214,214,214
26827,214,214,214
26828,214,214,214
26829,214,214,214
26830,214,214,214
26831,214,214,214
26832,210,210,210
26833,210,210,210
26834,210,210,210
26835,210,210,210
26836,210,210,210
26837,210,210,210
26838,210,210,210
26839,210,210,210
26840,211,211,211
26841,211,211,211
26842,211,211,211
26843,211,211,211
26844,211,211,211
26845,211,211,211
26846,211,211,211
26847,211,211,211
26848,210,210,210
26849,210,210,210
26850,210,210,210
26851,210,210,210
26852,210,210,210
26853,210,210,210
26854,210,210,210
26855,210,210,210
26856,209,209,209
26857,208,208,208
26858,208,208,208
26859,207,207,207
26860,207,207,207
26861,206,206,206
